name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
FBMKLCI-C5O: CW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06505O,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.005 / 650,"0.010 / 2,000"
FBMKLCI-C5P: CW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06505P,19-Apr-19,7:11 PM,-,-,-,0.06,0,0.000 / 0,0.000 / 0
FBMKLCI-C5Q: CW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06505Q,19-Apr-19,7:11 PM,0.125,0.125,0.135,0.13,"3,210",0.000 / 0,"0.140 / 1,000"
FBMKLCI-C5R: CW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06505R,19-Apr-19,7:11 PM,0.02,0.015,0.02,0.02,"3,771","0.010 / 2,500","0.020 / 2,000"
FBMKLCI-C5S: CW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06505S,19-Apr-19,7:11 PM,0.07,0.07,0.07,0.07,"1,000",0.000 / 0,0.000 / 0
FBMKLCI-C5T: CW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06505T,19-Apr-19,7:11 PM,0.125,0.125,0.125,0.125,500,0.000 / 0,"0.135 / 1,000"
FBMKLCI-C5U: CW FTSE BURSA MALAYSIA KLCI INDEX (MIBB),06505U,19-Apr-19,7:11 PM,-,-,-,0.06,0,0.000 / 0,0.000 / 0
FBMKLCI-C5V: CW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06505V,19-Apr-19,7:11 PM,-,-,-,0.025,0,"0.020 / 3,710",0.030 / 160
FBMKLCI-C5W: CW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06505W,19-Apr-19,7:11 PM,0.02,0.02,0.025,0.025,"5,002","0.020 / 1,000","0.025 / 2,498"
FBMKLCI-C5X: CW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06505X,19-Apr-19,7:11 PM,0.13,0.13,0.13,0.13,"1,300",0.000 / 0,0.000 / 0
FBMKLCI-C5Y: CW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06505Y,19-Apr-19,7:11 PM,0.235,0.235,0.24,0.24,"1,900",0.230 / 535,0.000 / 0
FBMKLCI-C5Z: CW FTSE BURSA MALAYSIA KLCI INDEX (MIBB),06505Z,19-Apr-19,7:11 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
FBMKLCI-C7A: CW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06507A,19-Apr-19,7:11 PM,0.05,0.05,0.055,0.055,"2,300","0.050 / 1,000",0.055 / 400
FTSE BURSA MALAYSIA KLCI ETF,0820EA,19-Apr-19,7:11 PM,-,-,-,1.775,0,1.770 / 19,1.775 / 800
FBMKLCI-H6L: PW FTSE BURSA MALAYSIA KLCI INDEX (MIBB),06506L,19-Apr-19,7:11 PM,-,-,-,0.175,0,0.000 / 0,0.185 / 700
FBMKLCI-H6M: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06506M,19-Apr-19,7:11 PM,0.245,0.245,0.245,0.245,400,0.000 / 0,0.255 / 620
FBMKLCI-H6N: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506N,19-Apr-19,7:11 PM,-,-,-,0.185,0,0.000 / 0,0.000 / 0
FBMKLCI-H6O: PW FTSE BURSA MALAYSIA KLCI INDEX (MACQ),06506O,19-Apr-19,7:11 PM,-,-,-,0.4,0,0.000 / 0,0.460 / 68
FBMKLCI-H6P: PW FTSE BURSA MALAYSIA KLCI INDEX (CIMB),06506P,19-Apr-19,7:11 PM,0.09,0.075,0.09,0.075,950,0.075 / 329,0.085 / 506
